user,computadores_distintos,total_logons,total_logoffs,computador_mais_usado,hora_logon_mais_comum,hora_logoff_mais_comum,logons_fim_de_semana,logons_dias_uteis,logons_fora_horario_comercial,logons_em_horario_comercial,logons_janela_acesso,proporcao_pc_mais_usado,pcs_distintos_dispositivo,total_atividades_dispositivo,connect_fora_horario_comercial,connect_em_horario_comercial,connect_fim_de_semana,connect_dias_uteis,connect_janela_acesso,total_connect_dispositivo,total_disconnect_dispositivo,conexoes_sem_desconexao,sites_distintos_visitados,total_acessos_http,acessos_fora_horario_comercial,acessos_em_horario_comercial,acessos_fim_de_semana,acessos_janela_acesso,visita_sites_compras,visita_sites_noticias,visita_sites_entretenimento,tamanho_medio_urls,termos_sensiveis_detectados,tamanho_medio_conteudo,diferenca_acessos_fora_dentro,risco,origem
33,0,91,97,583,1,5,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,227,460,0,467,0,0,7,37,151,790,1,219,319,Alto,original
34,0,180,97,765,2,6,0,157,0,199,0,327,0,0,0,0,0,0,0,0,0,0,295,438,31,437,0,31,12,13,96,477,1,409,358,Alto,original
35,0,91,97,1072,2,2,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,325,485,0,491,0,0,14,29,123,218,0,832,291,Médio,original
36,0,8,0,515,2,7,0,8,0,16,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
37,0,0,0,507,3,8,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
38,0,0,1,703,2,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
39,0,0,1,1057,1,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
40,0,91,97,498,1,3,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,22,25,0,27,0,0,0,3,7,892,0,557,750,Baixo,original
41,0,0,1,1715,2,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
42,0,0,1,1379,1,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
43,0,0,1,1419,1,2,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
44,0,91,97,1454,2,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,69,97,0,101,0,0,2,0,33,68,0,172,678,Médio,original
45,0,0,1,1584,2,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
46,1,12,5,205,2,3,0,12,3,17,1,176,1,137,22,116,3,123,4,137,103,115,0,0,0,0,0,0,0,0,0,0,0,0,778,Alto,original
47,0,0,1,1458,2,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
48,0,0,1,720,1,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
49,0,0,0,1049,2,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
50,0,7,0,363,2,6,0,7,0,15,0,327,1,283,97,241,0,256,62,283,231,243,0,0,0,0,0,0,0,0,0,0,0,0,778,Alto,original
51,0,0,1,1033,1,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
52,0,0,1,1527,2,2,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
53,0,91,97,1683,1,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,153,382,0,394,0,0,1,14,170,808,1,40,389,Alto,original
54,0,0,1,1618,1,4,0,0,0,8,0,327,1,312,0,300,0,293,0,312,257,265,0,0,0,0,0,0,0,0,0,0,0,0,778,Médio,original
55,2,298,201,1651,3,4,53,201,14,237,3,240,0,0,0,0,0,0,0,0,0,0,46,65,0,52,12,0,0,4,35,799,0,340,726,Médio,original
56,0,91,97,1525,2,5,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,287,475,0,483,0,0,13,16,158,132,0,453,299,Médio,original
57,0,0,0,298,2,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
58,1,126,144,1277,1,3,0,125,0,162,0,119,1,16,0,20,0,20,0,16,16,15,77,154,0,158,0,0,3,6,42,682,1,733,622,Alto,original
59,0,0,1,958,1,2,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
60,1,246,173,799,1,3,0,238,0,272,0,102,0,0,0,0,0,0,0,0,0,0,88,163,0,168,0,0,0,8,65,924,0,472,612,Baixo,original
61,0,0,1,718,2,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
62,0,7,1,166,2,4,0,7,0,15,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
63,0,1,2,1565,2,3,0,1,1,8,1,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
64,0,0,0,381,1,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
65,1,4,5,1558,2,4,0,4,0,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
66,0,0,1,316,3,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
67,0,0,1,1056,1,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
68,0,9,1,1394,2,3,0,9,0,17,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
69,1,10,3,1607,1,3,0,10,0,18,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
70,1,305,228,56,2,5,42,254,0,288,0,73,0,0,0,0,0,0,0,0,0,0,67,75,0,69,5,0,0,5,14,976,0,400,710,Médio,original
71,1,196,110,54,2,4,0,173,0,215,0,295,1,298,0,290,0,278,0,298,246,255,407,723,0,730,0,0,28,84,282,819,1,603,53,Alto,original
72,0,251,156,1035,0,3,17,197,100,93,11,327,1,325,94,264,84,282,25,325,265,276,510,767,102,762,76,68,41,87,297,415,1,608,29,Alto,original
73,1,102,112,322,1,6,0,101,1,139,1,247,1,294,93,263,0,275,60,294,244,254,208,493,54,493,0,46,3,44,175,961,0,387,301,Alto,original
74,0,183,97,888,2,5,0,160,0,202,0,327,0,0,0,0,0,0,0,0,0,0,123,249,0,259,0,0,10,14,78,630,0,607,517,Médio,original
75,0,0,0,1417,2,6,0,0,0,8,0,327,1,119,24,99,0,103,20,119,96,98,0,0,0,0,0,0,0,0,0,0,0,0,778,Alto,original
76,2,10,4,1081,1,2,0,10,1,17,1,85,1,114,0,105,0,98,0,114,89,96,0,0,0,0,0,0,0,0,0,0,0,0,778,Alto,original
77,0,0,0,1539,2,7,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
78,1,250,177,1011,1,2,0,242,0,275,0,92,1,202,0,184,0,177,0,202,164,167,111,191,0,198,0,0,1,10,68,294,0,95,584,Alto,original
79,0,0,1,173,2,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
80,0,91,97,912,1,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,444,624,0,637,0,0,26,43,166,257,0,331,145,Médio,original
81,0,0,1,11,1,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
82,1,11,3,213,1,4,0,11,0,19,0,169,1,218,0,200,0,195,0,218,179,177,0,0,0,0,0,0,0,0,0,0,0,0,778,Médio,original
83,0,0,1,159,2,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
84,0,91,97,1282,2,3,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,470,735,0,742,0,0,32,76,254,825,0,348,40,Médio,original
85,0,0,0,723,2,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
86,0,0,0,1744,2,6,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
87,0,183,97,1000,1,3,0,160,0,202,0,327,0,0,0,0,0,0,0,0,0,0,123,171,0,176,0,0,3,5,53,51,0,42,605,Médio,original
88,2,10,3,529,1,3,0,10,0,18,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
89,0,0,1,1753,1,2,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
90,14,312,222,518,2,4,83,184,1,226,1,280,0,0,0,0,0,0,0,0,0,0,124,234,0,184,42,0,5,10,82,645,0,223,598,Médio,original
91,0,0,0,1242,2,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
92,0,0,1,1116,2,2,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
93,0,0,0,549,2,7,0,0,0,8,0,327,1,128,65,77,0,113,49,128,99,104,0,0,0,0,0,0,0,0,0,0,0,0,778,Alto,original
94,0,0,0,1113,1,5,0,0,0,8,0,327,1,323,0,294,75,283,0,323,263,274,0,0,0,0,0,0,0,0,0,0,0,0,778,Médio,original
95,1,208,111,280,1,5,0,187,0,230,0,288,0,0,0,0,0,0,0,0,0,0,211,351,0,370,0,0,5,19,82,267,0,548,412,Médio,original
96,1,114,130,488,2,5,4,112,28,132,4,315,0,0,0,0,0,0,0,0,0,0,297,551,0,562,0,0,3,26,169,890,0,358,220,Médio,original
97,0,0,1,1079,2,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
98,0,0,0,1644,2,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
99,0,0,1,1307,1,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
100,0,91,97,1693,1,3,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,305,415,0,430,0,0,10,18,80,226,0,836,356,Médio,original
101,0,91,97,1630,1,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,243,330,0,345,0,0,5,16,72,250,0,43,434,Médio,original
102,0,91,97,9,1,3,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,203,339,0,355,0,0,4,10,81,699,0,189,426,Médio,original
103,1,10,3,974,1,4,0,10,0,18,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
104,0,91,97,1333,0,3,0,87,91,0,0,327,0,0,0,0,0,0,0,0,0,0,278,411,15,418,0,0,7,18,91,580,0,193,370,Médio,original
105,26,325,240,250,3,4,81,235,26,249,8,202,0,0,0,0,0,0,0,0,0,0,175,320,0,239,53,0,0,15,93,964,0,403,537,Médio,original
106,0,8,0,897,1,5,0,8,0,16,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
107,0,0,0,1249,2,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
108,0,2,3,1220,2,3,0,2,1,9,0,327,1,307,76,275,11,282,17,307,249,268,0,0,0,0,0,0,0,0,0,0,0,0,778,Alto,original
109,0,0,1,863,2,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
110,0,0,1,1063,1,1,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
111,1,9,2,1490,1,4,0,9,0,17,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
112,0,91,97,1768,2,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,85,146,0,151,0,0,2,3,55,195,0,592,630,Médio,original
113,17,218,129,1261,2,2,0,196,1,239,0,203,0,0,0,0,0,0,0,0,0,0,118,143,0,148,0,0,1,6,28,114,0,24,633,Médio,original
114,0,8,1,1541,2,2,0,8,0,16,0,327,1,265,0,233,0,230,0,265,216,222,0,0,0,0,0,0,0,0,0,0,0,0,778,Médio,original
115,0,0,1,1674,1,2,0,0,0,8,0,327,1,33,0,41,0,41,0,33,28,27,0,0,0,0,0,0,0,0,0,0,0,0,778,Médio,original
116,0,0,1,1562,2,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
117,0,7,0,338,2,5,0,7,0,15,0,327,1,262,0,230,0,227,0,262,213,219,0,0,0,0,0,0,0,0,0,0,0,0,778,Médio,original
118,0,0,0,1126,2,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
119,0,91,97,1552,1,3,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,58,51,0,54,0,0,2,2,10,899,0,359,724,Médio,original
120,2,104,114,967,1,2,0,103,0,142,0,235,1,274,0,249,0,240,0,274,225,233,202,403,0,415,0,0,5,13,148,639,0,149,368,Alto,original
121,0,7,0,157,2,6,0,7,0,15,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
122,0,91,97,537,1,3,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,285,395,0,408,0,0,7,17,69,305,0,393,375,Médio,original
123,0,91,97,1112,1,3,0,87,0,124,0,327,1,151,0,145,0,142,0,151,118,124,81,88,0,92,0,0,0,7,9,925,0,641,687,Alto,original
124,0,91,97,954,1,2,0,87,76,63,0,327,0,0,0,0,0,0,0,0,0,0,428,573,7,584,0,0,14,28,121,395,0,159,199,Médio,original
125,0,122,62,1250,1,3,0,121,0,157,0,327,0,0,0,0,0,0,0,0,0,0,29,37,0,39,0,0,0,1,19,557,0,996,737,Baixo,original
126,0,0,0,561,2,7,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
127,1,6,7,89,2,4,0,6,3,11,0,75,1,34,11,32,0,43,2,34,28,29,0,0,0,0,0,0,0,0,0,0,0,0,778,Alto,original
128,1,12,6,969,1,3,0,12,0,20,0,41,1,40,0,40,11,40,0,40,32,34,0,0,0,0,0,0,0,0,0,0,0,0,778,Alto,original
129,0,0,1,375,2,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
130,0,187,97,429,2,5,0,164,0,206,0,327,0,0,0,0,0,0,0,0,0,0,58,87,0,91,0,0,0,4,18,971,0,53,688,Baixo,original
131,2,244,164,487,2,4,0,235,3,268,3,125,1,17,0,23,0,23,0,17,17,18,115,164,0,169,0,0,6,3,40,25,0,725,611,Alto,original
132,1,5,5,1614,3,6,3,2,1,9,1,210,1,90,4,56,46,62,4,90,70,74,0,0,0,0,0,0,0,0,0,0,0,0,778,Alto,original
133,0,0,0,1685,2,5,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
134,0,0,1,1120,2,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
135,0,0,0,53,2,7,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
136,0,90,97,1455,3,4,0,86,0,123,0,327,0,0,0,0,0,0,0,0,0,0,42,39,0,41,0,0,1,1,5,312,0,886,735,Médio,original
137,0,0,0,391,3,6,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
138,0,7,1,1788,1,4,0,7,0,15,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
139,0,91,97,1762,1,2,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,223,305,0,320,0,0,3,9,51,657,0,200,459,Médio,original
140,0,0,1,516,3,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
141,1,98,106,143,2,6,0,95,0,134,0,290,0,0,0,0,0,0,0,0,0,0,475,703,82,710,0,67,20,58,257,775,1,275,79,Alto,original
142,0,283,165,170,1,3,50,167,0,209,0,327,0,0,0,0,0,0,0,0,0,0,474,744,0,733,89,0,54,34,306,146,1,601,50,Alto,original
143,0,91,97,544,1,3,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,283,555,0,568,0,0,3,51,209,907,0,152,215,Médio,original
144,0,91,97,735,1,2,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,98,138,0,142,0,0,2,8,27,903,0,868,638,Médio,original
145,0,243,158,1512,1,5,6,229,62,213,21,327,1,158,33,140,7,147,0,158,124,130,481,717,101,714,0,19,30,63,279,816,1,622,85,Alto,original
146,0,62,67,1493,1,3,0,60,0,85,0,327,0,0,0,0,0,0,0,0,0,0,480,751,0,760,0,0,24,88,287,713,4,425,19,Alto,original
147,1,171,247,1142,2,4,54,129,17,158,8,151,1,82,3,36,45,39,1,82,63,69,168,448,0,381,67,0,5,11,202,603,0,81,401,Alto,original
148,0,63,69,1531,2,4,0,61,0,86,0,327,0,0,0,0,0,0,0,0,0,0,416,732,0,739,0,0,18,85,266,897,3,540,43,Alto,original
149,1,213,121,1368,1,5,0,191,0,234,0,234,1,196,0,176,0,169,0,196,161,160,296,584,0,597,0,0,17,49,209,337,0,452,187,Alto,original
150,1,18,10,468,0,0,5,13,11,10,0,99,1,29,24,8,24,11,3,29,26,25,0,0,0,0,0,0,0,0,0,0,0,0,778,Alto,original
151,1,10,3,636,2,5,0,10,0,18,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
152,0,42,25,1586,2,4,0,39,0,49,0,327,0,0,0,0,0,0,0,0,0,0,232,288,0,299,0,0,11,10,52,244,0,845,477,Médio,original
153,1,124,143,859,2,4,0,123,0,160,0,123,0,0,0,0,0,0,0,0,0,0,100,142,0,147,0,0,2,11,36,858,0,701,634,Médio,original
154,0,185,97,903,3,4,0,162,0,204,0,327,0,0,0,0,0,0,0,0,0,0,108,168,0,172,0,0,3,4,32,158,0,389,608,Médio,original
155,0,91,97,1227,2,4,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,93,139,0,143,0,0,1,4,37,453,0,41,637,Médio,original
156,1,307,210,848,3,4,76,188,0,231,0,297,1,349,0,291,112,279,0,349,288,300,157,264,0,195,51,0,5,7,68,852,0,71,587,Alto,original
157,1,273,189,917,2,6,0,261,1,294,1,58,1,206,48,170,0,182,38,206,166,171,472,663,67,665,0,55,33,37,189,301,0,391,130,Alto,original
158,0,291,181,1452,3,6,64,152,0,194,0,327,1,241,56,165,78,182,43,241,194,199,146,233,13,196,33,13,9,9,70,496,0,539,594,Alto,original
159,0,91,97,1012,2,6,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,356,575,60,566,0,49,16,34,185,542,0,604,230,Médio,original
160,0,0,0,195,2,7,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
161,0,0,0,1421,2,6,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
162,0,0,1,1467,1,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
163,0,0,1,1748,1,3,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
164,0,91,97,1468,2,6,0,87,0,124,0,327,0,0,0,0,0,0,0,0,0,0,457,697,77,701,0,63,19,59,231,332,1,515,87,Alto,original
165,0,0,1,502,1,4,0,0,0,8,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,Baixo,original
