user,computadores_distintos,total_logons,total_logoffs,computador_mais_usado,hora_logon_mais_comum,hora_logoff_mais_comum,logons_fim_de_semana,logons_dias_uteis,logons_fora_horario_comercial,logons_em_horario_comercial,logons_janela_acesso,proporcao_pc_mais_usado,pcs_distintos_dispositivo,total_atividades_dispositivo,connect_fora_horario_comercial,connect_em_horario_comercial,connect_fim_de_semana,connect_dias_uteis,connect_janela_acesso,total_connect_dispositivo,total_disconnect_dispositivo,conexoes_sem_desconexao,sites_distintos_visitados,total_acessos_http,acessos_fora_horario_comercial,acessos_em_horario_comercial,acessos_fim_de_semana,acessos_janela_acesso,visita_sites_compras,visita_sites_noticias,visita_sites_entretenimento,tamanho_medio_urls,termos_sensiveis_detectados,tamanho_medio_conteudo,diferenca_acessos_fora_dentro
ACS0457,1,345,345,PC-3282,7,18,0,345,0,345,0,1.0,,,,,,,,,,,314.0,1007.0,0.0,1007.0,0.0,0.0,7.0,37.0,158.0,53.17974180734856,1.0,406.06156901688183,-1007.0
ACW0546,1,609,345,PC-4296,8,19,0,609,0,609,0,1.0,,,,,,,,,,,393.0,898.0,33.0,865.0,0.0,33.0,12.0,13.0,97.0,52.448775055679285,1.0,407.71937639198217,-832.0
ACW0801,1,345,345,PC-6004,8,15,0,345,0,345,0,1.0,,,,,,,,,,,434.0,1130.0,0.0,1130.0,0.0,0.0,14.0,29.0,128.0,51.882300884955754,0.0,411.10973451327436,-1130.0
ACW0870,1,18,9,PC-2899,8,20,0,18,0,18,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ADC0007,1,10,9,PC-2852,9,21,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ADF0724,1,10,10,PC-3915,8,17,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ADG0418,1,10,10,PC-5929,7,16,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ADH0427,1,345,345,PC-2793,7,16,0,345,0,345,0,1.0,,,,,,,,,,,60.0,76.0,0.0,76.0,0.0,0.0,0.0,3.0,7.0,53.578947368421055,0.0,408.8157894736842,-76.0
ADR0014,1,10,10,PC-9589,8,16,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ADR0362,1,10,10,PC-7874,7,16,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AEA0062,1,10,10,PC-8119,7,15,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AEM0896,1,345,345,PC-8285,8,17,0,345,0,345,0,1.0,,,,,,,,,,,123.0,192.0,0.0,192.0,0.0,0.0,2.0,0.0,33.0,51.432291666666664,0.0,405.4322916666667,-192.0
AEW0634,1,10,10,PC-8934,8,16,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AFM0640,2,22,14,PC-1191,8,16,0,22,3,19,1,0.8888888888888888,1.0,728.0,22.0,703.0,3.0,725.0,4.0,728.0,348.0,380.0,,,,,,,,,,,,,
AGC0733,1,10,10,PC-8307,8,17,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AGD0524,1,10,10,PC-4062,7,17,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AGG0161,1,10,9,PC-5904,8,18,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AGH0766,1,17,9,PC-1976,8,19,0,17,0,17,0,1.0,1.0,5471.0,555.0,4916.0,0.0,5471.0,555.0,5471.0,2713.0,2758.0,,,,,,,,,,,,,
AGP0775,1,10,10,PC-5852,7,16,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AGR0470,1,10,10,PC-8583,8,15,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AGW0029,1,345,345,PC-9437,7,17,0,345,0,345,0,1.0,,,,,,,,,,,229.0,742.0,0.0,742.0,0.0,0.0,1.0,14.0,177.0,53.25202156334232,1.0,401.30053908355796,-742.0
AHB0110,1,10,10,PC-9084,7,17,0,10,0,10,0,1.0,1.0,5933.0,0.0,5933.0,0.0,5933.0,0.0,5933.0,2950.0,2983.0,,,,,,,,,,,,,
AHD0110,3,821,481,PC-9275,9,17,157,664,14,650,3,0.9477726574500768,,,,,,,,,,,94.0,150.0,0.0,122.0,28.0,0.0,0.0,4.0,35.0,53.21333333333333,0.0,407.23333333333335,-122.0
AHM0091,1,345,345,PC-8572,8,18,0,345,0,345,0,1.0,,,,,,,,,,,384.0,1086.0,0.0,1086.0,0.0,0.0,13.0,16.0,165.0,51.693370165745854,0.0,408.06169429097605,-1086.0
AHM0302,1,10,9,PC-1643,8,18,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AHS0205,2,409,409,PC-7191,7,16,0,409,0,409,0,0.843520782396088,1.0,225.0,0.0,225.0,0.0,225.0,0.0,225.0,108.0,117.0,133.0,274.0,0.0,274.0,0.0,0.0,3.0,6.0,42.0,52.93065693430657,1.0,410.02919708029196,-274.0
AHS0228,1,10,10,PC-5451,7,15,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AIB0005,2,706,442,PC-4488,7,16,0,706,0,706,0,0.8310104529616724,,,,,,,,,,,146.0,292.0,0.0,292.0,0.0,0.0,0.0,8.0,65.0,53.794520547945204,0.0,408.1575342465753,-292.0
AIG0731,1,10,10,PC-4054,8,17,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AIR0116,1,17,10,PC-0990,8,17,0,17,0,17,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AIR0197,1,11,11,PC-8777,8,16,0,11,1,10,1,1.0,,,,,,,,,,,,,,,,,,,,,,,
AIR0578,1,10,9,PC-2072,7,18,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AJA0979,2,14,14,PC-8760,8,17,0,14,0,14,0,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,
AJB0408,1,10,10,PC-1724,9,17,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AJD0939,1,10,10,PC-5927,7,17,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AJG0522,1,19,10,PC-7960,8,16,0,19,0,19,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AJH0366,2,20,12,PC-9023,7,16,0,20,0,20,0,0.875,,,,,,,,,,,,,,,,,,,,,,,
AJH0410,2,864,542,PC-0321,8,18,136,728,0,728,0,0.8122332859174964,,,,,,,,,,,120.0,162.0,0.0,148.0,14.0,0.0,0.0,5.0,14.0,54.53703703703704,0.0,407.67283950617286,-148.0
AJL0593,2,625,361,PC-0291,8,17,0,625,0,625,0,0.9675456389452333,1.0,5901.0,0.0,5901.0,0.0,5901.0,0.0,5901.0,2934.0,2967.0,594.0,3323.0,0.0,3323.0,0.0,0.0,28.0,100.0,359.0,53.28287691844719,1.0,409.14204032500754,-3323.0
AJM0772,1,712,422,PC-5855,6,16,58,654,381,273,11,1.0,1.0,6441.0,329.0,5584.0,528.0,5913.0,29.0,6441.0,3199.0,3242.0,963.0,5237.0,411.0,4467.0,359.0,158.0,43.0,104.0,399.0,52.31945770479282,1.0,409.170517471835,-4056.0
AJO0389,2,363,363,PC-1738,7,19,0,363,1,362,1,0.9504132231404959,1.0,5894.0,326.0,5568.0,0.0,5894.0,326.0,5894.0,2928.0,2966.0,294.0,1206.0,62.0,1144.0,0.0,62.0,3.0,44.0,182.0,54.24709784411277,0.0,407.620232172471,-1082.0
AJP0155,1,612,345,PC-4980,8,18,0,612,0,612,0,1.0,,,,,,,,,,,183.0,480.0,0.0,480.0,0.0,0.0,10.0,14.0,79.0,52.797916666666666,0.0,409.1645833333333,-480.0
AJQ0376,1,10,9,PC-8111,8,19,0,10,0,10,0,1.0,1.0,702.0,24.0,678.0,0.0,702.0,24.0,702.0,341.0,361.0,,,,,,,,,,,,,
AJR0231,3,20,13,PC-6039,7,15,0,20,1,19,1,0.8181818181818182,1.0,688.0,0.0,688.0,0.0,688.0,0.0,688.0,332.0,356.0,,,,,,,,,,,,,
AJS0762,1,10,9,PC-8637,8,20,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AJV0013,2,710,446,PC-5745,7,15,0,710,0,710,0,0.8252595155709342,1.0,1340.0,0.0,1340.0,0.0,1340.0,0.0,1340.0,653.0,687.0,171.0,348.0,0.0,348.0,0.0,0.0,1.0,10.0,68.0,52.06896551724138,0.0,404.0316091954023,-348.0
AJY0801,1,10,10,PC-1054,8,17,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AKB0574,1,345,345,PC-5165,7,17,0,345,0,345,0,1.0,,,,,,,,,,,671.0,1836.0,0.0,1836.0,0.0,0.0,26.0,43.0,173.0,51.990196078431374,0.0,407.16938997821353,-1836.0
AKC0675,1,10,10,PC-0048,7,17,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AKG0669,2,21,12,PC-1233,7,17,0,21,0,21,0,0.8787878787878788,1.0,1371.0,0.0,1371.0,0.0,1371.0,0.0,1371.0,672.0,699.0,,,,,,,,,,,,,
AKM0135,1,10,10,PC-0964,8,17,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AKP0783,1,345,345,PC-7208,8,16,0,345,0,345,0,1.0,,,,,,,,,,,726.0,3658.0,0.0,3658.0,0.0,0.0,32.0,84.0,302.0,53.29961727720065,0.0,407.32804811372336,-3658.0
AKT0159,1,10,9,PC-4073,8,18,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AKW0035,1,10,9,PC-9747,8,19,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALB0033,1,612,345,PC-5704,7,16,0,612,0,612,0,1.0,,,,,,,,,,,183.0,305.0,0.0,305.0,0.0,0.0,3.0,5.0,53.0,51.27213114754098,0.0,401.4131147540984,-305.0
ALC0100,3,20,12,PC-2950,7,16,0,20,0,20,0,0.875,,,,,,,,,,,,,,,,,,,,,,,
ALD0521,1,10,10,PC-9799,7,15,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALM0073,18,891,512,PC-2913,8,17,254,637,1,636,1,0.9615110477548111,,,,,,,,,,,185.0,452.0,0.0,323.0,129.0,0.0,5.0,10.0,83.0,52.849557522123895,0.0,406.0929203539823,-323.0
ALP0547,1,10,9,PC-6960,8,18,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALS0156,1,10,10,PC-6245,8,15,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALW0850,1,10,9,PC-3078,8,20,0,10,0,10,0,1.0,1.0,712.0,115.0,597.0,0.0,712.0,115.0,712.0,344.0,368.0,,,,,,,,,,,,,
AMC0346,1,10,9,PC-6217,7,18,0,10,0,10,0,1.0,1.0,6273.0,0.0,5914.0,359.0,5914.0,0.0,6273.0,3117.0,3156.0,,,,,,,,,,,,,
AMF0083,2,640,362,PC-1571,7,18,0,640,0,640,0,0.9660678642714571,,,,,,,,,,,297.0,686.0,0.0,686.0,0.0,0.0,5.0,19.0,83.0,52.01749271137026,0.0,408.72594752186586,-686.0
AMH0857,2,387,387,PC-2717,8,18,4,383,30,353,4,0.9819121447028424,,,,,,,,,,,395.0,1489.0,0.0,1489.0,0.0,0.0,3.0,26.0,176.0,53.5721961047683,0.0,407.3848220282068,-1489.0
AMM0480,1,10,10,PC-6034,8,17,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AMN0312,1,10,9,PC-9228,8,18,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AMO0440,1,10,10,PC-7381,7,16,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AMO0751,1,345,345,PC-9488,7,16,0,345,0,345,0,1.0,,,,,,,,,,,404.0,847.0,0.0,847.0,0.0,0.0,10.0,18.0,81.0,51.90200708382527,0.0,411.1570247933884,-847.0
AMP0662,1,345,345,PC-9170,7,17,0,345,0,345,0,1.0,,,,,,,,,,,333.0,635.0,0.0,635.0,0.0,0.0,5.0,16.0,72.0,51.971653543307085,0.0,401.4220472440945,-635.0
AMR0208,1,345,345,PC-0042,7,16,0,345,0,345,0,1.0,,,,,,,,,,,288.0,655.0,0.0,655.0,0.0,0.0,4.0,10.0,82.0,52.958778625954196,0.0,405.7297709923664,-655.0
AMR0656,2,20,12,PC-5541,7,17,0,20,0,20,0,0.8125,,,,,,,,,,,,,,,,,,,,,,,
AMS0762,1,345,345,PC-7571,6,16,0,345,345,0,0,1.0,,,,,,,,,,,373.0,827.0,15.0,812.0,0.0,0.0,7.0,18.0,92.0,52.6819830713422,0.0,405.78476420798063,-797.0
AMT0293,33,952,572,PC-1410,9,17,249,703,28,675,8,0.9238845144356955,,,,,,,,,,,258.0,615.0,0.0,444.0,171.0,0.0,0.0,15.0,94.0,54.28292682926829,0.0,407.6878048780488,-444.0
AMT0348,1,18,9,PC-5058,7,18,0,18,0,18,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AMT0554,1,10,9,PC-7032,8,18,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AMV0189,1,12,12,PC-6820,8,16,0,12,1,11,0,1.0,1.0,5925.0,161.0,5752.0,12.0,5913.0,17.0,5925.0,2938.0,2987.0,,,,,,,,,,,,,
AMW0097,1,10,10,PC-4851,8,16,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AMW0706,1,10,10,PC-5945,7,14,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ANC0916,2,19,11,PC-8441,7,17,0,19,0,19,0,0.9333333333333333,,,,,,,,,,,,,,,,,,,,,,,
ANO0020,1,345,345,PC-9856,8,17,0,345,0,345,0,1.0,,,,,,,,,,,143.0,264.0,0.0,264.0,0.0,0.0,2.0,3.0,55.0,51.833333333333336,0.0,409.0,-264.0
ANR0792,22,653,384,PC-7082,8,15,0,653,1,652,0,0.9247830279652844,,,,,,,,,,,178.0,260.0,0.0,260.0,0.0,0.0,1.0,6.0,28.0,51.64230769230769,0.0,399.54615384615386,-260.0
AOA0515,1,18,10,PC-8641,8,15,0,18,0,18,0,1.0,1.0,2075.0,0.0,2075.0,0.0,2075.0,0.0,2075.0,1023.0,1052.0,,,,,,,,,,,,,
AOD0066,1,10,10,PC-9400,7,15,0,10,0,10,0,1.0,1.0,253.0,0.0,253.0,0.0,253.0,0.0,253.0,122.0,131.0,,,,,,,,,,,,,
AOH0490,1,10,10,PC-8768,8,17,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AOM0294,1,17,9,PC-1820,8,18,0,17,0,17,0,1.0,1.0,2054.0,0.0,2054.0,0.0,2054.0,0.0,2054.0,1012.0,1042.0,,,,,,,,,,,,,
AOP0898,1,10,9,PC-6303,8,18,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
AOW0276,1,345,345,PC-8696,7,16,0,345,0,345,0,1.0,,,,,,,,,,,110.0,126.0,0.0,126.0,0.0,0.0,2.0,2.0,10.0,53.642857142857146,0.0,407.3968253968254,-126.0
APC0027,3,365,365,PC-5493,7,15,0,365,0,365,0,0.9452054794520548,1.0,5397.0,0.0,5397.0,0.0,5397.0,0.0,5397.0,2682.0,2715.0,287.0,808.0,0.0,808.0,0.0,0.0,5.0,13.0,155.0,52.83292079207921,0.0,405.15346534653463,-808.0
APH0382,1,17,9,PC-0953,8,19,0,17,0,17,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
APR0631,1,345,345,PC-3001,7,16,0,345,0,345,0,1.0,,,,,,,,,,,380.0,778.0,0.0,778.0,0.0,0.0,7.0,17.0,69.0,52.08997429305913,0.0,407.63496143958866,-778.0
AQH0426,1,345,345,PC-6212,7,16,0,345,0,345,0,1.0,1.0,761.0,0.0,761.0,0.0,761.0,0.0,761.0,367.0,394.0,138.0,181.0,0.0,181.0,0.0,0.0,0.0,7.0,9.0,53.83425414364641,0.0,409.3756906077348,-181.0
AQM0699,1,345,345,PC-5413,7,15,0,345,162,183,0,1.0,,,,,,,,,,,646.0,1583.0,7.0,1576.0,0.0,0.0,14.0,28.0,126.0,52.265319014529375,0.0,405.2716361339229,-1569.0
ARB0002,1,400,229,PC-7033,7,16,0,400,0,400,0,1.0,,,,,,,,,,,72.0,99.0,0.0,99.0,0.0,0.0,0.0,1.0,19.0,52.61616161616162,0.0,423.07070707070704,-99.0
ARC0773,1,10,9,PC-3151,8,20,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ARD0789,2,16,16,PC-0545,8,17,0,16,3,13,0,0.8125,1.0,255.0,11.0,244.0,0.0,255.0,2.0,255.0,122.0,133.0,,,,,,,,,,,,,
ARH0777,2,22,15,PC-5513,7,16,0,22,0,22,0,0.7837837837837838,1.0,264.0,0.0,252.0,12.0,252.0,0.0,264.0,126.0,138.0,,,,,,,,,,,,,
ARH0997,1,10,10,PC-2039,8,16,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ARM0257,1,616,345,PC-2443,8,18,0,616,0,616,0,1.0,,,,,,,,,,,110.0,179.0,0.0,179.0,0.0,0.0,0.0,4.0,18.0,54.43016759776536,0.0,402.1731843575419,-179.0
ARR0934,3,703,430,PC-2716,8,17,0,703,3,700,3,0.8499558693733451,1.0,232.0,0.0,232.0,0.0,232.0,0.0,232.0,110.0,122.0,175.0,293.0,0.0,293.0,0.0,0.0,6.0,3.0,40.0,51.051194539249146,0.0,409.9590443686007,-293.0
ARS0171,2,15,14,PC-9061,9,19,3,12,1,11,1,0.9310344827586207,1.0,377.0,4.0,273.0,100.0,277.0,4.0,377.0,181.0,196.0,,,,,,,,,,,,,
ARS0594,1,10,9,PC-9454,8,18,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ARV0481,1,10,10,PC-6269,8,17,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ARW0201,1,10,9,PC-0287,8,20,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ASA0282,1,344,345,PC-8289,9,17,0,344,0,344,0,1.0,,,,,,,,,,,87.0,101.0,0.0,101.0,0.0,0.0,1.0,1.0,5.0,52.0990099009901,0.0,411.8217821782178,-101.0
ASB0335,1,10,9,PC-2142,9,19,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ASC0678,1,17,10,PC-9952,7,17,0,17,0,17,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ASF0328,1,345,345,PC-9825,7,15,0,345,0,345,0,1.0,,,,,,,,,,,310.0,588.0,0.0,588.0,0.0,0.0,3.0,9.0,51.0,52.88265306122449,0.0,405.8537414965986,-588.0
ASH0413,1,10,10,PC-2900,9,17,0,10,0,10,0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ASJ0543,2,357,357,PC-0832,8,19,0,357,0,357,0,0.9663865546218487,,,,,,,,,,,738.0,2824.0,137.0,2687.0,0.0,137.0,20.0,60.0,308.0,53.149787535410766,1.0,406.64305949008497,-2550.0
ASJ0958,1,771,431,PC-1032,7,16,152,619,0,619,0,1.0,,,,,,,,,,,737.0,4000.0,0.0,3434.0,566.0,0.0,61.0,34.0,429.0,51.7305,1.0,409.11975,-3434.0
ASL0677,1,345,345,PC-3056,7,16,0,345,0,345,0,1.0,,,,,,,,,,,378.0,1519.0,0.0,1519.0,0.0,0.0,3.0,52.0,229.0,53.68071099407505,0.0,405.18104015799867,-1519.0
ASM0229,1,345,345,PC-4119,7,15,0,345,0,345,0,1.0,,,,,,,,,,,156.0,251.0,0.0,251.0,0.0,0.0,2.0,8.0,27.0,53.657370517928285,0.0,411.52988047808765,-251.0
ASN0508,1,702,424,PC-8529,7,18,6,696,73,623,21,1.0,1.0,785.0,34.0,744.0,7.0,778.0,0.0,785.0,378.0,407.0,753.0,3143.0,369.0,2774.0,0.0,19.0,30.0,66.0,350.0,53.279032771237674,1.0,409.2414890232262,-2405.0
ASO0737,1,247,247,PC-8451,7,16,0,247,0,247,0,1.0,,,,,,,,,,,744.0,4356.0,0.0,4356.0,0.0,0.0,24.0,105.0,375.0,52.99586776859504,4.0,407.8103764921947,-4356.0
ASR0889,2,583,584,PC-6390,8,17,161,422,17,405,8,0.8663239074550129,1.0,350.0,3.0,248.0,99.0,251.0,1.0,350.0,165.0,185.0,249.0,953.0,0.0,706.0,247.0,0.0,5.0,11.0,221.0,52.73242392444911,0.0,403.50052465897164,-706.0
ASS0569,1,251,251,PC-8589,8,17,0,251,0,251,0,1.0,,,,,,,,,,,620.0,3548.0,0.0,3548.0,0.0,0.0,18.0,101.0,322.0,53.61809470124013,3.0,408.685174746336,-3548.0
ASS0611,2,645,373,PC-7789,7,18,0,645,0,645,0,0.9449901768172888,1.0,1321.0,0.0,1321.0,0.0,1321.0,0.0,1321.0,643.0,678.0,394.0,1622.0,0.0,1622.0,0.0,0.0,17.0,50.0,229.0,52.144882860665845,0.0,408.05672009864367,-1622.0
