user,risco_Grok,risco_DeepSeek,risco_ChatGratuito,risco_Copilot,risco_Gemini,risco_Especialista
ACW0801,Médio,Baixo,Baixo,Baixo,Médio,Baixo
ACW0870,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ADC0007,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ADF0724,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ADG0418,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ADH0427,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ADR0014,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ADR0362,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AEA0062,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AEM0896,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
AEW0634,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AFM0640,Baixo,Médio,Baixo,Baixo,Alto,Alto
AGC0733,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AGD0524,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AGG0161,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AGH0766,Médio,Baixo,Baixo,Baixo,Alto,Alto
AGP0775,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AGR0470,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AGW0029,Médio,Médio,Médio,Médio,Alto,Médio
AHB0110,Médio,Baixo,Baixo,Baixo,Médio,Alto
AHD0110,Baixo,Alto,Médio,Baixo,Médio,Alto
AHM0091,Médio,Baixo,Baixo,Baixo,Médio,Baixo
AHM0302,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AHS0205,Médio,Alto,Médio,Médio,Alto,Alto
AHS0228,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AIB0005,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AIG0731,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AIR0116,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AIR0197,Baixo,Médio,Baixo,Baixo,Baixo,Baixo
AIR0578,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AJA0979,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AJB0408,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AJD0939,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AJG0522,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AJH0366,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AJH0410,Baixo,Médio,Baixo,Baixo,Médio,Baixo
AJL0593,Alto,Alto,Alto,Médio,Alto,Alto
AJM0772,Alto,Alto,Alto,Alto,Alto,Alto
AJO0389,Médio,Alto,Médio,Médio,Alto,Alto
AJP0155,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
AJQ0376,Baixo,Baixo,Baixo,Baixo,Alto,Alto
AJR0231,Baixo,Alto,Baixo,Baixo,Alto,Alto
AJS0762,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AJV0013,Médio,Médio,Médio,Baixo,Alto,Alto
AJY0801,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AKB0574,Médio,Baixo,Baixo,Baixo,Médio,Baixo
AKC0675,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AKG0669,Médio,Baixo,Baixo,Baixo,Médio,Alto
AKM0135,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AKP0783,Médio,Baixo,Baixo,Baixo,Médio,Baixo
AKT0159,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AKW0035,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ALB0033,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
ALC0100,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ALD0521,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ALM0073,Médio,Alto,Médio,Baixo,Médio,Alto
ALP0547,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ALS0156,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ALW0850,Baixo,Baixo,Baixo,Baixo,Alto,Alto
AMC0346,Médio,Baixo,Baixo,Baixo,Médio,Alto
AMF0083,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
AMH0857,Baixo,Alto,Médio,Baixo,Médio,Baixo
AMM0480,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AMN0312,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AMO0440,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AMO0751,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
AMP0662,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
AMR0208,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
AMR0656,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AMS0762,Médio,Médio,Médio,Médio,Médio,Médio
AMT0293,Médio,Alto,Alto,Médio,Médio,Alto
AMT0348,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AMT0554,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AMV0189,Médio,Médio,Baixo,Baixo,Alto,Alto
AMW0097,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AMW0706,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ANC0916,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ANO0020,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
ANR0792,Médio,Médio,Baixo,Baixo,Médio,Alto
AOA0515,Médio,Baixo,Baixo,Baixo,Médio,Alto
AOD0066,Baixo,Baixo,Baixo,Baixo,Médio,Alto
AOH0490,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AOM0294,Médio,Baixo,Baixo,Baixo,Médio,Alto
AOP0898,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AOW0276,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
APC0027,Médio,Médio,Médio,Baixo,Alto,Alto
APH0382,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
APR0631,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
AQH0426,Baixo,Médio,Baixo,Baixo,Alto,Alto
AQM0699,Médio,Médio,Médio,Médio,Médio,Médio
ARB0002,Baixo,Médio,Baixo,Baixo,Baixo,Baixo
ARC0773,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ARD0789,Baixo,Médio,Baixo,Baixo,Alto,Alto
ARH0777,Baixo,Médio,Baixo,Baixo,Alto,Alto
ARH0997,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ARM0257,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ARR0934,Médio,Alto,Baixo,Médio,Alto,Alto
ARS0171,Baixo,Alto,Baixo,Baixo,Alto,Alto
ARS0594,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ARV0481,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ARW0201,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ASA0282,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
ASB0335,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ASC0678,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ASF0328,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
ASH0413,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ASJ0543,Médio,Alto,Alto,Médio,Alto,Médio
ASJ0958,Médio,Alto,Alto,Médio,Alto,Alto
ASL0677,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
ASM0229,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
ASN0508,Alto,Alto,Alto,Alto,Alto,Alto
ASO0737,Médio,Médio,Médio,Médio,Alto,Médio
ASR0889,Médio,Alto,Alto,Médio,Alto,Alto
ASS0569,Médio,Médio,Médio,Médio,Alto,Médio
ASS0611,Médio,Médio,Médio,Médio,Alto,Alto
ASS0982,Médio,Médio,Médio,Médio,Alto,Alto
ASV0051,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
ASW0536,Médio,Baixo,Baixo,Baixo,Médio,Baixo
ATB0235,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
ATG0636,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
ATT0650,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
ATV0292,Alto,Médio,Médio,Baixo,Alto,Alto
AUS0564,Médio,Alto,Médio,Alto,Alto,Alto
AVJ0078,Alto,Alto,Médio,Médio,Alto,Alto
AVR0566,Médio,Médio,Médio,Médio,Médio,Baixo
AWB0853,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AWH0846,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AWM0042,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AWN0988,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AWR0559,Médio,Alto,Alto,Médio,Alto,Médio
AWR0932,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AWW0784,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
AXB0237,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
AXC0137,Médio,Alto,Médio,Médio,Médio,Alto
AYD0147,Médio,Baixo,Baixo,Baixo,Médio,Baixo
AYN0502,Alto,Alto,Alto,Alto,Alto,Alto
AZH0595,Médio,Médio,Médio,Médio,Alto,Médio
BAA0151,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BAB0315,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BAD0541,Baixo,Médio,Médio,Baixo,Médio,Baixo
BAG0190,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
BAK0530,Médio,Alto,Alto,Médio,Médio,Alto
BAM0689,Médio,Baixo,Baixo,Baixo,Médio,Alto
BAW0461,Médio,Baixo,Baixo,Baixo,Médio,Baixo
BBB0904,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BBD0164,Baixo,Médio,Baixo,Baixo,Baixo,Baixo
BBS0474,Baixo,Médio,Baixo,Baixo,Médio,Baixo
BBS0744,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BBT0357,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BCB0629,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BCD0482,Médio,Alto,Médio,Médio,Alto,Médio
BCE0039,Médio,Alto,Médio,Baixo,Médio,Alto
BCH0694,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BCM0195,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BCM0290,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BCM0382,Médio,Alto,Alto,Médio,Alto,Médio
BCN0667,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BCP0247,Baixo,Médio,Baixo,Baixo,Alto,Alto
BCS0314,Médio,Alto,Médio,Médio,Alto,Alto
BCV0304,Médio,Médio,Médio,Médio,Alto,Médio
BDA0036,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BDA0994,Médio,Médio,Médio,Médio,Alto,Médio
BDM0385,Médio,Alto,Alto,Médio,Alto,Médio
BDS0396,Baixo,Baixo,Baixo,Baixo,Médio,Alto
BEC0915,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BEH0540,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BEK0623,Médio,Médio,Médio,Baixo,Alto,Alto
BER0398,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BES0161,Médio,Médio,Médio,Médio,Alto,Médio
BFM0101,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BGB0727,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
BGC0538,Alto,Alto,Alto,Médio,Alto,Alto
BGM0010,Médio,Alto,Alto,Médio,Alto,Alto
BGP0577,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
BGR0068,Médio,Médio,Médio,Baixo,Alto,Alto
BGZ0902,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BHB0443,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BHK0697,Médio,Médio,Baixo,Baixo,Alto,Alto
BIB0251,Baixo,Médio,Baixo,Baixo,Médio,Baixo
BIB0407,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BID0160,Baixo,Baixo,Baixo,Baixo,Baixo,Alto
BID0969,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BIR0613,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
BIR0678,Médio,Médio,Médio,Médio,Alto,Médio
BIS0988,Médio,Alto,Alto,Médio,Alto,Médio
BIT0900,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BJC0265,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
BJC0298,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BJE0520,Alto,Alto,Alto,Alto,Alto,Alto
BJG0097,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
BJG0120,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
BJH0243,Médio,Alto,Alto,Médio,Alto,Alto
BJS0951,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BJT0747,Médio,Baixo,Baixo,Baixo,Alto,Alto
BJW0917,Baixo,Baixo,Baixo,Baixo,Médio,Alto
BKA0340,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BKA0532,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BKH0446,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BKM0084,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
BKM0492,Médio,Médio,Médio,Médio,Alto,Alto
BLA0039,Alto,Alto,Médio,Médio,Médio,Alto
BLB0583,Médio,Médio,Médio,Médio,Alto,Alto
BLB0703,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BLL0527,Médio,Baixo,Baixo,Baixo,Médio,Baixo
BLM0712,Médio,Alto,Alto,Médio,Alto,Alto
BLM0800,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BLM0868,Médio,Médio,Médio,Médio,Alto,Médio
BLW0787,Alto,Alto,Alto,Médio,Alto,Alto
BMA0465,Baixo,Baixo,Baixo,Baixo,Médio,Alto
BMB0668,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BMC0175,Baixo,Médio,Baixo,Baixo,Alto,Alto
BMC0611,Médio,Médio,Médio,Médio,Alto,Alto
BMD0342,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
BMG0006,Médio,Médio,Baixo,Baixo,Alto,Alto
BML0845,Médio,Alto,Alto,Alto,Alto,Alto
BMR0341,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
BMS0057,Baixo,Baixo,Baixo,Baixo,Alto,Alto
BMT0903,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BMW0898,Médio,Alto,Alto,Médio,Alto,Médio
BNB0026,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
BNB0478,Médio,Médio,Médio,Médio,Alto,Alto
BNB0938,Médio,Médio,Médio,Médio,Alto,Médio
BNF0925,Médio,Alto,Médio,Médio,Alto,Alto
BNS0910,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BNT0144,Médio,Médio,Baixo,Baixo,Baixo,Baixo
BNT0819,Médio,Médio,Médio,Médio,Alto,Médio
BOJ0326,Baixo,Baixo,Baixo,Baixo,Alto,Alto
BOK0261,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BOR0631,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BPB0061,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
BPB0750,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BPE0219,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BPH0243,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BQD0092,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
BQK0526,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BRB0807,Médio,Médio,Médio,Médio,Alto,Médio
BRB0894,Médio,Médio,Baixo,Baixo,Alto,Alto
BRC0579,Médio,Baixo,Baixo,Baixo,Médio,Baixo
BRF0749,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BRH0362,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
BRM0377,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BRS0468,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
BRS0802,Alto,Médio,Médio,Médio,Alto,Alto
BRS0849,Médio,Alto,Alto,Alto,Alto,Alto
BSA0663,Médio,Médio,Médio,Médio,Alto,Médio
BSB0995,Alto,Alto,Alto,Médio,Alto,Alto
BSH0402,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BSP0219,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BSR0244,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BSS0707,Médio,Alto,Alto,Médio,Alto,Alto
BTN0131,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BTW0818,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BUG0693,Baixo,Médio,Baixo,Baixo,Alto,Alto
BVV0342,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BVW0318,Médio,Médio,Médio,Médio,Alto,Médio
BWH0921,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BWK0038,Médio,Alto,Médio,Baixo,Médio,Alto
BWW0834,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
BXJ0256,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BYB0592,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BYN0163,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BYN0338,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
BZK0095,Médio,Baixo,Baixo,Baixo,Médio,Alto
BZT0160,Alto,Alto,Alto,Médio,Alto,Alto
BZV0067,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CAB0422,Baixo,Médio,Baixo,Baixo,Médio,Alto
CAB0705,Alto,Alto,Alto,Médio,Alto,Alto
CAC0558,Médio,Médio,Médio,Médio,Médio,Baixo
CAE0080,Baixo,Médio,Baixo,Baixo,Alto,Alto
CAG0612,Médio,Alto,Baixo,Baixo,Alto,Alto
CAH0554,Médio,Alto,Alto,Médio,Alto,Médio
CAH0813,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CAJ0004,Baixo,Médio,Baixo,Baixo,Médio,Baixo
CAN0178,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
CAO0899,Baixo,Alto,Médio,Baixo,Médio,Alto
CAP0305,Médio,Médio,Médio,Médio,Alto,Médio
CAR0784,Médio,Médio,Médio,Médio,Alto,Médio
CAS0821,Baixo,Baixo,Baixo,Baixo,Alto,Alto
CAT0500,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CAW0115,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
CAW0566,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CAW0771,Alto,Alto,Alto,Alto,Alto,Alto
CBA0027,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CBB0609,Médio,Baixo,Baixo,Baixo,Médio,Baixo
CBB0661,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
CBB0888,Baixo,Baixo,Baixo,Baixo,Médio,Alto
CBB0999,Baixo,Médio,Baixo,Baixo,Alto,Alto
CBD0092,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CBH0457,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CBH0656,Baixo,Médio,Baixo,Baixo,Alto,Alto
CBJ0373,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
CBK0172,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CBL0851,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CBL0969,Alto,Alto,Alto,Médio,Alto,Alto
CBM0387,Médio,Alto,Alto,Médio,Alto,Médio
CBN0398,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CBO0506,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CBP0020,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CCB0944,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CCC0192,Baixo,Médio,Baixo,Baixo,Alto,Alto
CCC0632,Médio,Alto,Médio,Alto,Alto,Alto
CCD0463,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CCD0584,Baixo,Médio,Baixo,Baixo,Alto,Alto
CCF0877,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
CCG0255,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CCH0252,Baixo,Alto,Médio,Médio,Alto,Alto
CCH0959,Alto,Alto,Alto,Médio,Alto,Alto
CCM0786,Médio,Médio,Baixo,Baixo,Médio,Médio
CCM0822,Médio,Médio,Médio,Médio,Alto,Médio
CCN0067,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
CCO0065,Médio,Médio,Médio,Baixo,Alto,Alto
CCR0509,Médio,Médio,Médio,Médio,Médio,Médio
CCR0670,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CCR0823,Médio,Médio,Médio,Médio,Alto,Médio
CCW0142,Médio,Baixo,Baixo,Baixo,Baixo,Baixo
CCW0487,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CDA0483,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CDG0487,Médio,Alto,Médio,Médio,Alto,Médio
CDH0933,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CDH0990,Médio,Baixo,Baixo,Baixo,Médio,Baixo
CDM0220,Médio,Alto,Alto,Médio,Alto,Alto
CDN0865,Médio,Médio,Baixo,Baixo,Alto,Alto
CDP0582,Médio,Médio,Médio,Médio,Alto,Médio
CDT0311,Médio,Médio,Médio,Médio,Alto,Médio
CDW0519,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CDW0576,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CEB0158,Médio,Médio,Médio,Médio,Alto,Alto
CEB0555,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CEF0928,Médio,Médio,Médio,Baixo,Médio,Alto
CEJ0646,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
CEP0238,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CES0709,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CEW0539,Médio,Médio,Médio,Médio,Médio,Baixo
CFB0034,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
CFB0167,Médio,Baixo,Baixo,Baixo,Médio,Baixo
CFB0216,Baixo,Alto,Baixo,Baixo,Alto,Alto
CFD0759,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CFP0581,Baixo,Médio,Baixo,Baixo,Médio,Médio
CFR0653,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CGF0635,Médio,Baixo,Baixo,Baixo,Médio,Baixo
CGH0088,Baixo,Baixo,Baixo,Baixo,Médio,Alto
CGH0679,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
CGK0725,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
CGP0271,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CGS0138,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
CGS0743,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CGW0553,Médio,Baixo,Baixo,Baixo,Médio,Alto
CHG0404,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CHG0627,Médio,Baixo,Baixo,Baixo,Baixo,Baixo
CHH0472,Médio,Alto,Alto,Alto,Alto,Alto
CHK0753,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CHP0446,Médio,Baixo,Baixo,Baixo,Médio,Baixo
CIL0124,Médio,Médio,Médio,Médio,Alto,Alto
CIM0473,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
CJD0835,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CJG0059,Baixo,Médio,Baixo,Baixo,Alto,Alto
CJM0970,Médio,Baixo,Baixo,Baixo,Médio,Baixo
CJP0221,Médio,Alto,Alto,Alto,Alto,Alto
CJR0414,Médio,Médio,Baixo,Baixo,Alto,Alto
CJT0374,Baixo,Médio,Médio,Baixo,Médio,Baixo
CJV0236,Médio,Baixo,Baixo,Baixo,Médio,Alto
CJW0812,Médio,Médio,Baixo,Baixo,Alto,Alto
CKB0619,Médio,Baixo,Baixo,Baixo,Baixo,Baixo
CKH0820,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CKR0591,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CKW0746,Médio,Alto,Médio,Médio,Alto,Alto
CLB0748,Médio,Baixo,Baixo,Baixo,Médio,Baixo
CLC0154,Médio,Médio,Baixo,Baixo,Alto,Alto
CLF0125,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CLH0287,Baixo,Médio,Baixo,Baixo,Baixo,Baixo
CLM0315,Baixo,Baixo,Baixo,Baixo,Médio,Baixo
CLR0460,Médio,Médio,Médio,Médio,Alto,Médio
CLS0138,Baixo,Baixo,Baixo,Baixo,Baixo,Baixo
CLW0688,Baixo,Alto,Baixo,Baixo,Alto,Alto
CMB0645,Médio,Médio,Médio,Médio,Alto,Médio
CMD0693,Médio,Alto,Médio,Baixo,Médio,Alto
