user,computadores_distintos,total_logons,total_logoffs,computador_mais_usado,hora_logon_mais_comum,hora_logoff_mais_comum,logons_fim_de_semana,logons_dias_uteis,logons_fora_horario_comercial,logons_em_horario_comercial,logons_janela_acesso,proporcao_pc_mais_usado,pcs_distintos_dispositivo,total_atividades_dispositivo,connect_fora_horario_comercial,connect_em_horario_comercial,connect_fim_de_semana,connect_dias_uteis,connect_janela_acesso,total_connect_dispositivo,total_disconnect_dispositivo,conexoes_sem_desconexao,sites_distintos_visitados,total_acessos_http,acessos_fora_horario_comercial,acessos_em_horario_comercial,acessos_fim_de_semana,acessos_janela_acesso,visita_sites_compras,visita_sites_noticias,visita_sites_entretenimento,tamanho_medio_urls,termos_sensiveis_detectados,tamanho_medio_conteudo,diferenca_acessos_fora_dentro,classe,risco,sintetico
50,0,7,0,363,2,6,0,7,0,15,0,327,0,282,97,241,0,255,62,282,230,242,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
51,0,0,1,1033,1,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
52,0,0,1,1527,2,2,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
53,0,91,97,1683,1,4,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,152,381,0,393,0,0,1,14,169,807,1,39,389,0,Médio,0
54,0,0,1,1618,1,4,0,0,0,8,0,327,0,311,0,300,0,292,0,311,256,264,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
55,2,298,201,1651,3,4,53,201,14,237,3,240,1,351,99,312,116,305,64,351,290,302,45,64,0,51,12,0,0,4,34,798,0,339,726,1,Alto,0
56,0,91,97,1525,2,5,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,286,474,0,482,0,0,13,16,157,131,0,452,299,0,Baixo,0
57,0,0,0,298,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
58,1,126,144,1277,1,3,0,125,0,162,0,119,0,15,0,20,0,19,0,15,15,14,76,153,0,157,0,0,3,6,41,681,1,732,622,1,Alto,0
59,0,0,1,958,1,2,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
60,1,246,173,799,1,3,0,238,0,272,0,102,1,351,99,312,116,305,64,351,290,302,87,162,0,167,0,0,0,8,64,923,0,471,612,0,Baixo,0
61,0,0,1,718,2,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
62,0,7,1,166,2,4,0,7,0,15,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
63,0,1,2,1565,2,3,0,1,1,8,1,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
64,0,0,0,381,1,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
65,1,4,5,1558,2,4,0,4,0,12,0,20,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
66,0,0,1,316,3,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
67,0,0,1,1056,1,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
68,0,9,1,1394,2,3,0,9,0,17,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
69,1,10,3,1607,1,3,0,10,0,18,0,165,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
70,1,305,228,56,2,5,42,254,0,288,0,73,1,351,99,312,116,305,64,351,290,302,66,74,0,68,5,0,0,5,13,975,0,399,710,0,Baixo,0
71,1,196,110,54,2,4,0,173,0,215,0,295,0,297,0,290,0,277,0,297,245,254,406,722,0,729,0,0,28,84,281,818,1,602,53,1,Alto,0
72,0,251,156,1035,0,3,17,197,100,93,11,327,0,324,94,264,84,281,25,324,264,275,509,766,102,761,76,68,41,87,296,414,1,607,29,1,Alto,0
73,1,102,112,322,1,6,0,101,1,139,1,247,0,293,93,263,0,274,60,293,243,253,207,492,54,492,0,46,3,44,174,960,0,386,301,1,Alto,0
74,0,183,97,888,2,5,0,160,0,202,0,327,1,351,99,312,116,305,64,351,290,302,122,248,0,258,0,0,10,14,77,629,0,606,517,0,Baixo,0
75,0,0,0,1417,2,6,0,0,0,8,0,327,0,118,24,99,0,102,20,118,95,97,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
76,2,10,4,1081,1,2,0,10,1,17,1,85,0,113,0,105,0,97,0,113,88,95,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
77,0,0,0,1539,2,7,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
78,1,250,177,1011,1,2,0,242,0,275,0,92,0,201,0,184,0,176,0,201,163,166,110,190,0,197,0,0,1,10,67,293,0,94,584,1,Alto,0
79,0,0,1,173,2,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
80,0,91,97,912,1,4,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,443,623,0,636,0,0,26,43,165,256,0,330,145,0,Baixo,0
81,0,0,1,11,1,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
82,1,11,3,213,1,4,0,11,0,19,0,169,0,217,0,200,0,194,0,217,178,176,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
83,0,0,1,159,2,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
84,0,91,97,1282,2,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,469,734,0,741,0,0,32,76,253,824,0,347,40,0,Baixo,0
85,0,0,0,723,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
86,0,0,0,1744,2,6,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
87,0,183,97,1000,1,3,0,160,0,202,0,327,1,351,99,312,116,305,64,351,290,302,122,170,0,175,0,0,3,5,52,50,0,41,605,0,Baixo,0
88,2,10,3,529,1,3,0,10,0,18,0,165,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
89,0,0,1,1753,1,2,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
90,14,312,222,518,2,4,83,184,1,226,1,280,1,351,99,312,116,305,64,351,290,302,123,233,0,183,42,0,5,10,81,644,0,222,598,1,Alto,0
91,0,0,0,1242,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
92,0,0,1,1116,2,2,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
93,0,0,0,549,2,7,0,0,0,8,0,327,0,127,65,77,0,112,49,127,98,103,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
94,0,0,0,1113,1,5,0,0,0,8,0,327,0,322,0,294,75,282,0,322,262,273,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
95,1,208,111,280,1,5,0,187,0,230,0,288,1,351,99,312,116,305,64,351,290,302,210,350,0,369,0,0,5,19,81,266,0,547,412,0,Baixo,0
96,1,114,130,488,2,5,4,112,28,132,4,315,1,351,99,312,116,305,64,351,290,302,296,550,0,561,0,0,3,26,168,889,0,357,220,0,Baixo,0
97,0,0,1,1079,2,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
98,0,0,0,1644,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
99,0,0,1,1307,1,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
100,0,91,97,1693,1,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,304,414,0,429,0,0,10,18,79,225,0,835,356,0,Baixo,0
101,0,91,97,1630,1,4,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,242,329,0,344,0,0,5,16,71,249,0,42,434,0,Baixo,0
102,0,91,97,9,1,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,202,338,0,354,0,0,4,10,80,698,0,188,426,0,Baixo,0
103,1,10,3,974,1,4,0,10,0,18,0,75,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
104,0,91,97,1333,0,3,0,87,91,0,0,327,1,351,99,312,116,305,64,351,290,302,277,410,15,417,0,0,7,18,90,579,0,192,370,0,Médio,0
105,26,325,240,250,3,4,81,235,26,249,8,202,1,351,99,312,116,305,64,351,290,302,174,319,0,238,53,0,0,15,92,963,0,402,537,1,Alto,0
106,0,8,0,897,1,5,0,8,0,16,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
107,0,0,0,1249,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
108,0,2,3,1220,2,3,0,2,1,9,0,327,0,306,76,275,11,281,17,306,248,267,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
109,0,0,1,863,2,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
110,0,0,1,1063,1,1,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
111,1,9,2,1490,1,4,0,9,0,17,0,211,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
112,0,91,97,1768,2,4,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,84,145,0,150,0,0,2,3,54,194,0,591,630,0,Baixo,0
113,17,218,129,1261,2,2,0,196,1,239,0,203,1,351,99,312,116,305,64,351,290,302,117,142,0,147,0,0,1,6,27,113,0,23,633,1,Alto,0
114,0,8,1,1541,2,2,0,8,0,16,0,327,0,264,0,233,0,229,0,264,215,221,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
115,0,0,1,1674,1,2,0,0,0,8,0,327,0,32,0,41,0,40,0,32,27,26,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
116,0,0,1,1562,2,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
117,0,7,0,338,2,5,0,7,0,15,0,327,0,261,0,230,0,226,0,261,212,218,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
118,0,0,0,1126,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
119,0,91,97,1552,1,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,57,50,0,53,0,0,2,2,9,898,0,358,724,0,Baixo,0
120,2,104,114,967,1,2,0,103,0,142,0,235,0,273,0,249,0,239,0,273,224,232,201,402,0,414,0,0,5,13,147,638,0,148,368,1,Alto,0
121,0,7,0,157,2,6,0,7,0,15,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
122,0,91,97,537,1,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,284,394,0,407,0,0,7,17,68,304,0,392,375,0,Baixo,0
123,0,91,97,1112,1,3,0,87,0,124,0,327,0,150,0,145,0,141,0,150,117,123,80,87,0,91,0,0,0,7,8,924,0,640,687,1,Alto,0
124,0,91,97,954,1,2,0,87,76,63,0,327,1,351,99,312,116,305,64,351,290,302,427,572,7,583,0,0,14,28,120,394,0,158,199,0,Médio,0
125,0,122,62,1250,1,3,0,121,0,157,0,327,1,351,99,312,116,305,64,351,290,302,28,36,0,38,0,0,0,1,18,556,0,995,737,0,Baixo,0
126,0,0,0,561,2,7,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
127,1,6,7,89,2,4,0,6,3,11,0,75,0,33,11,32,0,42,2,33,27,28,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
128,1,12,6,969,1,3,0,12,0,20,0,41,0,39,0,40,11,39,0,39,31,33,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
129,0,0,1,375,2,3,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
130,0,187,97,429,2,5,0,164,0,206,0,327,1,351,99,312,116,305,64,351,290,302,57,86,0,90,0,0,0,4,17,970,0,52,688,0,Baixo,0
131,2,244,164,487,2,4,0,235,3,268,3,125,0,16,0,23,0,22,0,16,16,17,114,163,0,168,0,0,6,3,39,24,0,724,611,1,Alto,0
132,1,5,5,1614,3,6,3,2,1,9,1,210,0,89,4,56,46,61,4,89,69,73,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
133,0,0,0,1685,2,5,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
134,0,0,1,1120,2,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
135,0,0,0,53,2,7,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
136,0,90,97,1455,3,4,0,86,0,123,0,327,1,351,99,312,116,305,64,351,290,302,41,38,0,40,0,0,1,1,4,311,0,885,735,0,Baixo,0
137,0,0,0,391,3,6,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
138,0,7,1,1788,1,4,0,7,0,15,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
139,0,91,97,1762,1,2,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,222,304,0,319,0,0,3,9,50,656,0,199,459,0,Baixo,0
140,0,0,1,516,3,4,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
141,1,98,106,143,2,6,0,95,0,134,0,290,1,351,99,312,116,305,64,351,290,302,474,702,82,709,0,67,20,58,256,774,1,274,79,0,Médio,0
142,0,283,165,170,1,3,50,167,0,209,0,327,1,351,99,312,116,305,64,351,290,302,473,743,0,732,89,0,54,34,305,145,1,600,50,1,Alto,0
143,0,91,97,544,1,3,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,282,554,0,567,0,0,3,51,208,906,0,151,215,0,Baixo,0
144,0,91,97,735,1,2,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,97,137,0,141,0,0,2,8,26,902,0,867,638,0,Baixo,0
145,0,243,158,1512,1,5,6,229,62,213,21,327,0,157,33,140,7,146,0,157,123,129,480,716,101,713,0,19,30,63,278,815,1,621,85,1,Alto,0
146,0,62,67,1493,1,3,0,60,0,85,0,327,1,351,99,312,116,305,64,351,290,302,479,750,0,759,0,0,24,88,286,712,4,424,19,0,Médio,0
147,1,171,247,1142,2,4,54,129,17,158,8,151,0,81,3,36,45,38,1,81,62,68,167,447,0,380,67,0,5,11,201,602,0,80,401,1,Alto,0
148,0,63,69,1531,2,4,0,61,0,86,0,327,1,351,99,312,116,305,64,351,290,302,415,731,0,738,0,0,18,85,265,896,3,539,43,0,Médio,0
149,1,213,121,1368,1,5,0,191,0,234,0,234,0,195,0,176,0,168,0,195,160,159,295,583,0,596,0,0,17,49,208,336,0,451,187,1,Alto,0
150,1,18,10,468,0,0,5,13,11,10,0,99,0,28,24,8,24,10,3,28,25,24,514,778,104,783,101,82,58,109,323,993,6,999,778,1,Alto,0
151,1,10,3,636,2,5,0,10,0,18,0,75,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
152,0,42,25,1586,2,4,0,39,0,49,0,327,1,351,99,312,116,305,64,351,290,302,231,287,0,298,0,0,11,10,51,243,0,844,477,0,Baixo,0
153,1,124,143,859,2,4,0,123,0,160,0,123,1,351,99,312,116,305,64,351,290,302,99,141,0,146,0,0,2,11,35,857,0,700,634,0,Baixo,0
154,0,185,97,903,3,4,0,162,0,204,0,327,1,351,99,312,116,305,64,351,290,302,107,167,0,171,0,0,3,4,31,157,0,388,608,0,Baixo,0
155,0,91,97,1227,2,4,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,92,138,0,142,0,0,1,4,36,452,0,40,637,0,Baixo,0
156,1,307,210,848,3,4,76,188,0,231,0,297,0,348,0,291,112,278,0,348,287,299,156,263,0,194,51,0,5,7,67,851,0,70,587,1,Alto,0
157,1,273,189,917,2,6,0,261,1,294,1,58,0,205,48,170,0,181,38,205,165,170,471,662,67,664,0,55,33,37,188,300,0,390,130,1,Alto,0
158,0,291,181,1452,3,6,64,152,0,194,0,327,0,240,56,165,78,181,43,240,193,198,145,232,13,195,33,13,9,9,69,495,0,538,594,1,Alto,0
159,0,91,97,1012,2,6,0,87,0,124,0,327,1,351,99,312,116,305,64,351,290,302,355,574,60,565,0,49,16,34,184,541,0,603,230,0,Baixo,0
160,0,0,0,195,2,7,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
161,0,0,0,1421,2,6,0,0,0,8,0,327,1,351,99,312,116,305,64,351,290,302,514,778,104,783,101,82,58,109,323,993,6,999,778,0,Baixo,0
